x1,x2,p1,p4,det_J,Статус
0.18,1.3244,26.5809,0.3839,0.4668,Бифуркация
0.19,0.7939,20.3564,0.549,0.307,Бифуркация
0.2,0.6042,17.9669,0.6965,0.1743,Бифуркация
0.21,0.5046,16.5561,0.8343,0.0312,Бифуркация
0.22,0.4435,15.544,0.9641,-0.1261,Лишняя
0.23,0.4028,14.7322,1.0865,-0.296,Лишняя
0.24,0.3743,14.0358,1.2018,-0.4753,Лишняя
0.25,0.3537,13.4135,1.3101,-0.6604,Лишняя
0.26,0.3387,12.8433,1.4116,-0.8482,Лишняя
0.27,0.3275,12.3131,1.5065,-1.0355,Лишняя
0.28,0.3194,11.8159,1.595,-1.2197,Лишняя
0.29,0.3135,11.3472,1.6774,-1.3989,Лишняя
0.3,0.3095,10.9042,1.754,-1.5712,Лишняя
0.31,0.3069,10.4851,1.8251,-1.7353,Лишняя
0.32,0.3055,10.0884,1.891,-1.8903,Лишняя
0.33,0.3052,9.7129,1.9521,-2.0356,Лишняя
0.34,0.3056,9.3575,2.0087,-2.1706,Лишняя
0.35,0.3068,9.0213,2.061,-2.2952,Лишняя
0.36,0.3087,8.7035,2.1094,-2.4092,Лишняя
0.37,0.3111,8.4031,2.1541,-2.5128,Лишняя
0.38,0.314,8.1194,2.1953,-2.606,Лишняя
0.39,0.3174,7.8514,2.2333,-2.689,Лишняя
0.4,0.3211,7.5984,2.2683,-2.7621,Лишняя
0.41,0.3253,7.3596,2.3005,-2.8255,Лишняя
0.42,0.3298,7.1343,2.33,-2.8797,Лишняя
0.43,0.3347,6.9218,2.3571,-2.9249,Лишняя
0.44,0.3399,6.7213,2.3819,-2.9615,Лишняя
0.45,0.3454,6.5323,2.4045,-2.9897,Лишняя
0.46,0.3511,6.354,2.4251,-3.01,Лишняя
0.47,0.3572,6.186,2.4437,-3.0227,Лишняя
0.48,0.3635,6.0276,2.4605,-3.028,Лишняя
0.49,0.3702,5.8784,2.4756,-3.0263,Лишняя
0.5,0.3771,5.7377,2.4891,-3.0179,Лишняя
0.51,0.3842,5.6053,2.501,-3.0031,Лишняя
0.52,0.3917,5.4806,2.5115,-2.9822,Лишняя
0.53,0.3994,5.3632,2.5205,-2.9555,Лишняя
0.54,0.4074,5.2528,2.5283,-2.9232,Лишняя
0.55,0.4157,5.149,2.5347,-2.8856,Лишняя
0.56,0.4242,5.0515,2.54,-2.8429,Лишняя
0.57,0.4331,4.9599,2.5441,-2.7954,Лишняя
0.58,0.4423,4.874,2.5472,-2.7433,Лишняя
0.59,0.4517,4.7935,2.5492,-2.6869,Лишняя
0.6,0.4615,4.7182,2.5502,-2.6263,Лишняя
0.61,0.4716,4.6478,2.5502,-2.5617,Лишняя
0.62,0.482,4.582,2.5493,-2.4935,Лишняя
0.63,0.4928,4.5208,2.5476,-2.4216,Лишняя
0.64,0.5039,4.464,2.545,-2.3465,Лишняя
0.65,0.5154,4.4112,2.5416,-2.2682,Лишняя
0.66,0.5273,4.3625,2.5375,-2.1868,Лишняя
0.67,0.5396,4.3176,2.5326,-2.1027,Лишняя
0.68,0.5522,4.2765,2.527,-2.0159,Лишняя
0.69,0.5653,4.2389,2.5207,-1.9265,Лишняя
0.7,0.5789,4.2048,2.5138,-1.8348,Лишняя
0.71,0.5929,4.1741,2.5063,-1.7409,Лишняя
0.72,0.6073,4.1468,2.4982,-1.6449,Лишняя
0.73,0.6223,4.1226,2.4896,-1.5468,Лишняя
0.74,0.6378,4.1016,2.4804,-1.447,Лишняя
0.75,0.6538,4.0837,2.4707,-1.3453,Лишняя
0.76,0.6704,4.0688,2.4605,-1.2421,Лишняя
0.77,0.6876,4.0569,2.4498,-1.1373,Лишняя
0.78,0.7054,4.048,2.4387,-1.031,Лишняя
0.79,0.7238,4.042,2.4271,-0.9233,Лишняя
